"Extension","Count","TotalMB"
".jpg","2351","12053.68"
".png","1109","488.96"
".pdf","505","814.82"
".py","342","0.91"
".webp","205","13.68"
".html","99","27.94"
".docx","93","49.86"
".mp4","33","6174.62"
".txt","29","0.12"
".pptx","26","358.18"
".zip","21","1559.69"
".md","20","0.1"
".json","18","1.24"
".xlsx","17","23.91"
".php","15","0.4"
".ttf","12","0.14"
".cid","11","0.39"
".cff","8","0.02"
".jpeg","8","2.86"
".csv","7","0.08"
".step","7","47.24"
".stp","6","105.43"
".xls","3","0.08"
".exe","2","115.84"
".svg","2","0.01"
".dwg","2","6.33"
".bdoc","2","0.24"
".jsx","1","0.03"
".gz","1","23.95"
".css","1","0.11"
"[no extension]","1","0.02"
